node,new_score
anon_S5493,514
anon_S3417,649
anon_S5225,579
anon_S5442,623
anon_S5439,936
anon_S2157,965
anon_S5585,955
anon_S1579,620
anon_S1619,696
anon_S4812,1238
anon_S625,749
anon_S3881,566
anon_S505,970
anon_S831,559
anon_S5821,1045
anon_S4830,562
anon_S6019,518
anon_S67,630
anon_S2518,808
anon_S5098,528
anon_S2527,711
anon_S2507,568
anon_S1300,563
anon_S569,496
anon_S3471,739
anon_S4589,528
anon_S1604,620
anon_S5313,657
anon_S1047,681
anon_S531,761
anon_S2463,695
anon_S3687,996
anon_S4741,623
anon_S808,667
anon_S5398,265
anon_S1152,739
anon_S4485,878
anon_S2000,770
anon_S2458,997
anon_S1092,444
anon_S159,1157
anon_S2825,1105
anon_S2405,636
anon_S2598,808
anon_S995,655
anon_S940,614
anon_S3544,587
anon_S4414,711
anon_S2758,647
anon_S2306,620
anon_S1409,631
anon_S2252,695
anon_S5680,609
anon_S5913,600
anon_S2238,617
anon_S3614,783
anon_S422,662
anon_S1780,878
anon_S4367,596
anon_S733,407
anon_S5212,581
anon_S2618,652
anon_S5935,627
anon_S418,546
anon_S2723,667
anon_S2320,669
anon_S1043,577
anon_S1420,589
anon_S2698,808
anon_S1836,783
anon_S4349,547
anon_S3291,921
anon_S1918,761
anon_S5254,635
anon_S5183,768
anon_S5329,520
anon_S1936,970
anon_S3353,617
anon_S1552,1047
anon_S2636,588
anon_S2233,649
anon_S1858,811
anon_S1765,1486
anon_S1651,649
anon_S4595,549
anon_S1638,559
anon_S3848,565
anon_S4152,466
anon_S4675,616
anon_S5632,1045
anon_S3262,474
anon_S4755,1024
anon_S4700,1024
anon_S5249,943
anon_S352,533
anon_S1711,812
anon_S3454,993
anon_S3084,711
anon_S5347,943
anon_S6058,992
anon_S1998,677
anon_S1227,399
anon_S1031,657
anon_S5040,734
anon_S3339,677
anon_S3866,770
anon_S2913,994
anon_S2551,711
anon_S1703,649
anon_S4155,704
anon_S3139,721
anon_S5291,544
anon_S3182,650
anon_S3975,596
anon_S1060,601
anon_S1589,915
anon_S812,640
anon_S2049,987
anon_S1308,652
anon_S3514,812
anon_S3563,610
anon_S24,681
anon_S520,651
anon_S3481,993
anon_S4023,596
anon_S178,1157
anon_S2844,711
anon_S3662,760
anon_S6119,535
anon_S5487,590
anon_S332,653
anon_S1013,626
anon_S1594,594
anon_S1468,812
anon_S843,616
anon_S3644,862
anon_S1414,629
anon_S4034,596
anon_S1340,536
anon_S2791,681
anon_S2493,632
anon_S1315,626
anon_S2027,623
anon_S1509,894
anon_S1811,1298
anon_S224,596
anon_S249,487
anon_S5965,599
anon_S1204,843
anon_S2777,664
anon_S3923,677
anon_S1880,709
anon_S1877,620
anon_S6104,639
anon_S778,626
anon_S5162,597
anon_S3784,632
anon_S81,683
anon_S1126,496
anon_S1681,1027
anon_S4097,626
anon_S1964,636
anon_S1755,1065
anon_S3325,460
anon_S3370,1708
anon_S4656,591
anon_S1364,570
anon_S1339,667
anon_S200,1105
anon_S5464,623
anon_S2642,565
anon_S3448,812
anon_S5774,609
anon_S5796,662
anon_S3717,696
anon_S2151,873
anon_S214,623
anon_S5583,1279
anon_S1763,620
anon_S2679,667
anon_S3047,921
anon_S627,690
anon_S3473,601
anon_S643,498
anon_S833,507
anon_S5823,1191
anon_S2332,647
anon_S38,764
anon_S3883,994
anon_S3387,593
anon_S3782,636
anon_S1794,440
anon_S4404,671
anon_S3528,577
anon_S65,1157
anon_S4391,481
anon_S649,605
anon_S3415,608
anon_S4669,585
anon_S5656,638
anon_S2521,1105
anon_S656,592
anon_S4299,601
anon_S1302,499
anon_S4761,935
anon_S2305,987
anon_S2128,761
anon_S6,378
anon_S884,736
anon_S859,624
anon_S4487,808
anon_S1691,993
anon_S4059,565
anon_S5227,509
anon_S2403,681
anon_S2006,723
anon_S4519,491
anon_S4175,499
anon_S2827,808
anon_S6088,943
anon_S3170,873
anon_S942,640
anon_S3546,583
anon_S1172,451
anon_S1189,667
anon_S4916,1312
anon_S5468,1238
anon_S6074,1150
anon_S3176,610
anon_S5948,535
anon_S2341,649
anon_S1782,1305
anon_S4361,555
anon_S2930,996
anon_S2616,744
anon_S5533,480
anon_S2268,620
anon_S500,894
anon_S3616,996
anon_S5882,549
anon_S4406,808
anon_S2721,593
anon_S2326,677
anon_S1713,695
anon_S5933,572
anon_S1834,713
anon_S4347,607
anon_S2068,695
anon_S3242,987
anon_S3239,711
anon_S4196,677
anon_S4056,860
anon_S144,678
anon_S4011,647
anon_S5181,687
anon_S5327,568
anon_S980,779
anon_S1694,519
anon_S731,647
anon_S764,996
anon_S1934,608
anon_S1943,993
anon_S315,1142
anon_S2388,620
anon_S1554,626
anon_S2630,808
anon_S5515,530
anon_S5708,712
anon_S5268,485
anon_S4150,599
anon_S4673,567
anon_S3264,705
anon_S1325,503
anon_S1601,677
anon_S5788,563
anon_S5341,591
anon_S1225,565
anon_S354,630
anon_S3086,745
anon_S3864,644
anon_S3813,739
anon_S3734,792
anon_S286,677
anon_S2130,601
anon_S2165,546
anon_S5668,583
anon_S2502,808
anon_S508,961
anon_S2553,987
anon_S4792,581
anon_S4955,575
anon_S4848,616
anon_S5862,609
anon_S2047,489
anon_S3977,602
anon_S4975,616
anon_S5068,591
anon_S3311,783
anon_S526,698
anon_S3561,482
anon_S3951,783
anon_S3039,808
anon_S5272,609
anon_S5755,609
anon_S5722,609
anon_S2842,1021
anon_S435,613
anon_S922,739
anon_S4386,649
anon_S2495,987
anon_S4815,1024
anon_S2477,987
anon_S5485,1412
anon_S330,1093
anon_S3151,915
anon_S3587,677
anon_S413,677
anon_S845,540
anon_S810,638
anon_S5002,1032
anon_S1382,617
anon_S4511,486
anon_S2797,745
anon_S588,897
anon_S985,587
anon_S2021,681
anon_S4906,1356
anon_S1051,569
anon_S2450,525
anon_S2972,1252
anon_S4597,688
anon_S1813,647
anon_S1580,811
anon_S3209,708
anon_S1488,782
anon_S2779,792
anon_S2223,608
anon_S1828,636
anon_S2873,860
anon_S1875,649
anon_S83,1083
anon_S1453,987
anon_S1128,531
anon_S1683,900
anon_S5164,548
anon_S5414,1024
anon_S4025,860
anon_S1988,994
anon_S1966,764
anon_S3327,783
anon_S4650,620
anon_S4095,921
anon_S2179,620
anon_S2644,987
anon_S1753,620
anon_S6110,456
anon_S4520,691
anon_S5794,897
anon_S1362,693
anon_S1528,694
anon_S2153,620
anon_S2884,1060
anon_S5967,778
anon_S1908,632
anon_S1761,642
anon_S3711,1486
anon_S4127,440
anon_S216,589
anon_S5581,1178
anon_S5266,992
anon_S3289,994
anon_S4887,631
anon_S4957,527
anon_S4585,816
anon_S2967,434
anon_S1622,649
anon_S5825,938
anon_S1293,431
anon_S3385,647
anon_S3780,661
anon_S962,590
anon_S3526,658
anon_S63,1005
anon_S395,584
anon_S348,579
anon_S3413,808
anon_S4092,783
anon_S5654,502
anon_S4753,623
anon_S1728,961
anon_S3858,993
anon_S4763,687
anon_S602,689
anon_S5289,1156
anon_S3172,878
anon_S3803,588
anon_S886,561
anon_S2371,677
anon_S4481,565
anon_S5997,943
anon_S4836,620
anon_S2004,1027
anon_S1457,378
anon_S108,616
anon_S2821,681
anon_S944,581
anon_S2594,683
anon_S2549,808
anon_S5664,635
anon_S2472,709
anon_S748,518
anon_S2709,987
anon_S4249,987
anon_S5596,1232
anon_S3618,1060
anon_S1784,642
anon_S4363,681
anon_S2789,664
anon_S5444,700
anon_S2353,620
anon_S1511,782
anon_S5931,607
anon_S4345,514
anon_S1077,620
anon_S162,1157
anon_S3698,565
anon_S871,623
anon_S4833,559
anon_S5278,1178
anon_S2632,1021
anon_S5517,573
anon_S2685,1027
anon_S5187,700
anon_S2357,620
anon_S3240,596
anon_S2898,734
anon_S2763,681
anon_S4818,694
anon_S2149,811
anon_S5325,712
anon_S766,568
anon_S2506,987
anon_S5178,1192
anon_S1556,847
anon_S1941,649
anon_S1030,708
anon_S406,441
anon_S3763,792
anon_S2280,1037
anon_S166,1157
anon_S2317,651
anon_S4415,770
anon_S1603,1021
anon_S3266,613
anon_S1272,766
anon_S1223,648
anon_S356,493
anon_S3080,808
anon_S3732,667
anon_S2167,487
anon_S2818,993
anon_S5615,578
anon_S2555,900
anon_S2500,661
anon_S4013,987
anon_S2018,708
anon_S3979,860
anon_S3011,812
anon_S4016,1021
anon_S1086,505
anon_S2863,808
anon_S4156,525
anon_S4671,536
anon_S296,677
anon_S929,582
anon_S3567,635
anon_S2236,1716
anon_S4977,620
anon_S5720,609
anon_S3957,860
anon_S3467,626
anon_S2497,602
anon_S2420,808
anon_S4860,1194
anon_S2098,649
anon_S2023,812
anon_S290,875
anon_S2840,900
anon_S437,392
anon_S3157,987
anon_S5483,1270
anon_S336,510
anon_S5478,558
anon_S847,737
anon_S3640,677
anon_S2045,602
anon_S5000,1032
anon_S624,657
anon_S1418,598
anon_S2795,986
anon_S987,574
anon_S17,588
anon_S3509,808
anon_S3989,987
anon_S1798,602
anon_S480,468
anon_S5321,566
anon_S4790,496
anon_S4941,487
anon_S5578,1270
anon_S1873,1047
anon_S2914,723
anon_S1658,1083
anon_S2530,808
anon_S1685,1037
anon_S4532,560
anon_S5166,734
anon_S2740,667
anon_S5416,710
anon_S1960,1298
anon_S4652,620
anon_S924,563
anon_S450,552
anon_S198,1298
anon_S1751,993
anon_S2262,620
anon_S5792,609
anon_S4240,860
anon_S4215,860
anon_S4738,332
anon_S2646,487
anon_S4109,744
anon_S1906,987
anon_S1200,503
anon_S4255,565
anon_S2861,588
anon_S4315,704
anon_S3713,987
anon_S2180,1000
anon_S218,652
anon_S5231,660
anon_S3287,993
anon_S712,594
anon_S4587,569
anon_S1620,1467
anon_S2244,1262
anon_S698,617
anon_S623,693
anon_S4117,987
anon_S4638,504
anon_S34,739
anon_S5025,486
anon_S618,606
anon_S3411,878
anon_S3444,915
anon_S5652,575
anon_S5818,609
anon_S4135,860
anon_S397,720
anon_S4160,497
anon_S3856,588
anon_S3779,892
anon_S4665,816
anon_S4765,701
anon_S3174,706
anon_S946,654
anon_S3196,705
anon_S4538,614
anon_S4142,565
anon_S2469,941
anon_S3056,1501
anon_S4082,892
anon_S880,704
anon_S518,792
anon_S960,643
anon_S1098,506
anon_S4171,511
anon_S458,510
anon_S5831,662
anon_S4883,581
anon_S2596,921
anon_S4912,750
anon_S746,554
anon_S4996,1447
anon_S4796,623
anon_S4951,695
anon_S3593,996
anon_S5919,604
anon_S5886,486
anon_S1786,620
anon_S4544,520
anon_S2994,808
anon_S2561,593
anon_S1398,549
anon_S2351,588
anon_S4273,596
anon_S1513,749
anon_S4512,562
anon_S4208,596
anon_S160,1157
anon_S873,381
anon_S4343,504
anon_S640,611
anon_S4192,501
anon_S2239,698
anon_S2687,987
anon_S615,646
anon_S1807,961
anon_S3246,588
anon_S2761,1202
anon_S5185,1192
anon_S5150,586
anon_S2147,677
anon_S5323,493
anon_S3934,671
anon_S760,561
anon_S5706,946
anon_S2612,804
anon_S5537,635
anon_S97,936
anon_S1132,548
anon_S2879,987
anon_S5801,563
anon_S5409,710
anon_S3765,651
anon_S3730,894
anon_S5356,509
anon_S2282,672
anon_S5704,609
anon_S5594,1187
anon_S3268,617
anon_S5599,1393
anon_S4579,563
anon_S3082,808
anon_S2161,620
anon_S5848,582
anon_S1274,660
anon_S2917,783
anon_S1221,477
anon_S1929,677
anon_S2850,808
anon_S2557,608
anon_S1709,677
anon_S2340,1298
anon_S3879,661
anon_S5441,996
anon_S3188,1371
anon_S3017,761
anon_S4546,575
anon_S1583,677
anon_S1084,568
anon_S3315,783
anon_S4626,879
anon_S3565,581
anon_S4971,1024
anon_S5759,609
anon_S5726,609
anon_S223,441
anon_S4507,673
anon_S3487,760
anon_S3035,987
anon_S3430,717
anon_S3465,993
anon_S440,550
anon_S4819,634
anon_S2909,717
anon_S439,612
anon_S4473,808
anon_S3656,378
anon_S5481,1270
anon_S334,611
anon_S2316,649
anon_S3155,987
anon_S3122,1055
anon_S4844,450
anon_S4899,525
anon_S2043,620
anon_S3068,711
anon_S5006,581
anon_S4684,581
anon_S3108,721
anon_S981,547
anon_S40,677
anon_S6090,943
anon_S5219,839
anon_S15,730
anon_S6011,539
anon_S2742,667
anon_S2810,981
anon_S1578,793
anon_S243,695
anon_S482,620
anon_S1363,602
anon_S1871,1060
anon_S1824,546
anon_S2370,770
anon_S1687,1065
anon_S4128,961
anon_S4099,993
anon_S1962,986
anon_S5360,515
anon_S826,578
anon_S4217,860
anon_S2648,900
anon_S6003,635
anon_S1904,662
anon_S1959,594
anon_S1202,539
anon_S5963,646
anon_S1524,1298
anon_S2186,593
anon_S637,575
anon_S650,613
anon_S5262,1191
anon_S5273,1150
anon_S4317,987
anon_S5510,616
anon_S3285,970
anon_S714,608
anon_S5233,625
anon_S1626,581
anon_S4767,581
anon_S1297,526
anon_S5527,580
anon_S3479,601
anon_S4581,1247
anon_S4148,783
anon_S5829,1224
anon_S2113,761
anon_S1697,620
anon_S5027,536
anon_S5090,532
anon_S3889,1716
anon_S3381,608
anon_S3832,892
anon_S3751,677
anon_S4115,636
anon_S5467,498
anon_S5790,609
anon_S3214,808
anon_S1268,599
anon_S391,724
anon_S2453,647
anon_S3446,651
anon_S3854,808
anon_S3809,651
anon_S2201,647
anon_S5650,591
anon_S5605,494
anon_S570,416
anon_S948,608
anon_S3194,1716
anon_S1183,681
anon_S2590,783
anon_S4910,567
anon_S4945,588
anon_S5500,629
anon_S4282,601
anon_S2275,588
anon_S3054,593
anon_S4028,671
anon_S3905,647
anon_S882,597
anon_S828,428
anon_S516,1027
anon_S966,620
anon_S239,502
anon_S3522,595
anon_S36,1486
anon_S5392,630
anon_S4279,711
anon_S5767,609
anon_S4885,556
anon_S4173,504
anon_S4610,603
anon_S4465,808
anon_S328,1411
anon_S3591,602
anon_S744,677
anon_S1502,685
anon_S1309,602
anon_S2563,608
anon_S1396,607
anon_S2785,1281
anon_S5437,616
anon_S4046,565
anon_S3623,698
anon_S875,641
anon_S4341,539
anon_S5215,620
anon_S4827,508
anon_S2037,783
anon_S2681,900
anon_S1850,812
anon_S1805,749
anon_S3244,677
anon_S3233,1484
anon_S4190,547
anon_S2767,921
anon_S5152,543
anon_S2145,993
anon_S4091,921
anon_S5633,1242
anon_S5374,585
anon_S5699,992
anon_S5971,416
anon_S4754,623
anon_S2610,661
anon_S2963,711
anon_S5542,529
anon_S5884,535
anon_S5381,546
anon_S95,979
anon_S5875,609
anon_S1646,812
anon_S762,737
anon_S1341,583
anon_S1945,672
anon_S313,638
anon_S1314,637
anon_S2339,941
anon_S603,497
anon_S3815,909
anon_S2163,1467
anon_S1547,588
anon_S5619,509
anon_S2284,677
anon_S4953,603
anon_S3432,760
anon_S4788,332
anon_S6103,466
anon_S4536,508
anon_S4708,1203
anon_S5229,544
anon_S266,996
anon_S3785,1027
anon_S1607,878
anon_S4794,1032
anon_S1276,682
anon_S1990,1047
anon_S454,461
anon_S3037,711
anon_S5059,839
anon_S5299,573
anon_S4959,581
anon_S1657,593
anon_S1082,590
anon_S4973,839
anon_S1730,620
anon_S3317,677
anon_S4261,601
anon_S4234,642
anon_S557,512
anon_S3920,723
anon_S3463,782
anon_S5434,879
anon_S5772,1302
anon_S5803,563
anon_S5812,609
anon_S2424,783
anon_S2471,711
anon_S5402,506
anon_S4864,591
anon_S5429,710
anon_S4497,1716
anon_S5617,651
anon_S4846,516
anon_S2041,608
anon_S2014,649
anon_S4696,935
anon_S5592,1224
anon_S1581,878
anon_S4682,581
anon_S147,434
anon_S2837,808
anon_S462,740
anon_S13,713
anon_S42,873
anon_S5004,1032
anon_S5073,620
anon_S539,275
anon_S983,467
anon_S6092,943
anon_S2744,664
anon_S5412,718
anon_S5952,688
anon_S2314,632
anon_S484,529
anon_S3600,1069
anon_S1819,647
anon_S2349,1298
anon_S2486,711
anon_S2401,651
anon_S241,1157
anon_S2439,782
anon_S1115,616
anon_S1826,812
anon_S1689,593
anon_S3283,696
anon_S3278,677
anon_S4540,572
anon_S5195,663
anon_S3378,808
anon_S5629,611
anon_S3015,642
anon_S1712,716
anon_S1526,878
anon_S2184,744
anon_S1037,661
anon_S1902,1081
anon_S4061,1716
anon_S1899,744
anon_S4319,601
anon_S2671,644
anon_S5235,709
anon_S2940,723
anon_S5565,709
anon_S415,594
anon_S4769,581
anon_S521,812
anon_S4583,676
anon_S1643,632
anon_S6042,545
anon_S1295,480
anon_S1240,492
anon_S5092,659
anon_S3753,588
anon_S4113,808
anon_S692,665
anon_S1679,620
anon_S2929,632
anon_S3216,987
anon_S4747,623
anon_S393,580
anon_S342,547
anon_S3440,811
anon_S5300,553
anon_S5607,475
anon_S3852,808
anon_S3192,808
anon_S1181,665
anon_S2592,626
anon_S2538,667
anon_S4280,601
anon_S572,1044
anon_S3052,713
anon_S4534,613
anon_S3907,667
anon_S139,647
anon_S851,740
anon_S4268,565
anon_S514,608
anon_S964,636
anon_S549,650
anon_S3520,808
anon_S3575,566
anon_S30,934
anon_S4969,620
anon_S5765,563
anon_S3969,717
anon_S4612,487
anon_S934,640
anon_S3625,634
anon_S445,595
anon_S2858,596
anon_S3597,783
anon_S5534,604
anon_S742,677
anon_S933,408
anon_S2263,734
anon_S5382,486
anon_S4108,667
anon_S2565,711
anon_S2372,588
anon_S2787,651
anon_S5435,996
anon_S2998,647
anon_S4569,467
anon_S4516,589
anon_S1137,650
anon_S1394,524
anon_S2060,709
anon_S4825,763
anon_S2035,636
anon_S1852,763
anon_S1803,749
anon_S2954,434
anon_S2638,828
anon_S5107,591
anon_S5977,483
anon_S2765,546
anon_S2712,709
anon_S5189,663
anon_S5540,619
anon_S1023,660
anon_S4369,593
anon_S1640,878
anon_S739,711
anon_S2907,647
anon_S2738,1027
anon_S5172,1542
anon_S5109,718
anon_S93,677
anon_S1641,783
anon_S5577,1085
anon_S2138,378
anon_S1545,677
anon_S5349,943
anon_S4399,862
anon_S4786,694
anon_S4083,636
anon_S2286,436
anon_S2652,706
anon_S5201,663
anon_S5700,609
anon_S2143,669
anon_S260,1074
anon_S4303,808
anon_S6109,516
anon_S4997,996
anon_S3031,671
anon_S3926,617
anon_S3461,627
anon_S5671,616
anon_S6111,582
anon_S3399,808
anon_S958,589
anon_S389,571
anon_S4694,620
anon_S112,567
anon_S4272,644
anon_S4232,808
anon_S555,710
anon_S5877,609
anon_S4209,632
anon_S1732,999
anon_S540,561
anon_S4263,601
anon_S2426,928
anon_S2029,677
anon_S3948,860
anon_S3937,860
anon_S5814,563
anon_S3159,996
anon_S3126,721
anon_S4931,613
anon_S4067,921
anon_S1080,556
anon_S2835,626
anon_S818,596
anon_S3875,808
anon_S4840,1333
anon_S2016,878
anon_S5071,718
anon_S4680,581
anon_S4167,613
anon_S5408,710
anon_S580,862
anon_S44,981
anon_S6094,558
anon_S3556,534
anon_S11,709
anon_S4322,608
anon_S2746,651
anon_S5139,663
anon_S2205,1021
anon_S3802,525
anon_S5954,652
anon_S4320,667
anon_S2484,706
anon_S2083,1021
anon_S247,504
anon_S5509,491
anon_S486,1069
anon_S5472,597
anon_S3206,1252
anon_S4009,860
anon_S1820,1047
anon_S661,580
anon_S718,589
anon_S5197,687
anon_S2878,642
anon_S5627,517
anon_S192,1437
anon_S1900,1021
anon_S1955,764
anon_S307,649
anon_S4432,565
anon_S4141,632
anon_S1520,915
anon_S2673,993
anon_S5237,492
anon_S5567,641
anon_S1769,792
anon_S4566,659
anon_S1242,446
anon_S629,623
anon_S3788,783
anon_S1702,620
anon_S3755,637
anon_S4144,987
anon_S4649,623
anon_S2117,892
anon_S4509,521
anon_S3210,661
anon_S4745,623
anon_S4732,581
anon_S2801,873
anon_S1491,620
anon_S3442,601
anon_S5870,563
anon_S5601,387
anon_S5239,992
anon_S407,643
anon_S340,675
anon_S3850,565
anon_S3708,716
anon_S5837,485
anon_S2541,667
anon_S1717,1187
anon_S4286,601
anon_S3548,556
anon_S1016,741
anon_S3901,808
anon_S1599,711
anon_S4832,935
anon_S3050,808
anon_S3577,783
anon_S32,931
anon_S4967,1006
anon_S5094,431
anon_S5763,609
anon_S1359,372
anon_S1596,1298
anon_S911,596
anon_S3967,860
anon_S3428,613
anon_S1588,1101
anon_S420,709
anon_S3627,617
anon_S111,677
anon_S5646,501
anon_S1169,595
anon_S740,702
anon_S1804,588
anon_S3595,546
anon_S3167,647
anon_S429,606
anon_S857,740
anon_S58,943
anon_S5036,516
anon_S1392,437
anon_S2781,792
anon_S2062,677
anon_S2033,811
anon_S6064,520
anon_S1519,620
anon_S1174,576
anon_S1419,427
anon_S1008,575
anon_S259,1012
anon_S1854,792
anon_S1801,690
anon_S5899,711
anon_S2710,525
anon_S5156,1192
anon_S2865,987
anon_S5466,1247
anon_S2410,546
anon_S2266,792
anon_S5888,621
anon_S91,939
anon_S1125,525
anon_S298,1069
anon_S1642,987
anon_S5928,463
anon_S2382,878
anon_S1543,667
anon_S1994,763
anon_S3335,602
anon_S3342,546
anon_S2288,1047
anon_S2650,734
anon_S2923,921
anon_S5702,609
anon_S4784,367
anon_S2141,692
anon_S5975,597
anon_S5902,672
anon_S2915,1597
anon_S1777,1055
anon_S3024,711
anon_S5260,1242
anon_S262,1060
anon_S2208,594
anon_S2245,761
anon_S4410,632
anon_S662,664
anon_S3033,579
anon_S3436,626
anon_S3099,681
anon_S1616,873
anon_S5673,601
anon_S1285,614
anon_S2508,726
anon_S5055,620
anon_S5088,935
anon_S3794,667
anon_S4205,860
anon_S387,477
anon_S1403,543
anon_S2217,711
anon_S4679,644
anon_S2932,921
anon_S1734,1262
anon_S5728,609
anon_S1345,589
anon_S1310,659
anon_S4715,581
anon_S1647,620
anon_S582,1324
anon_S4868,734
anon_S3494,770
anon_S1718,669
anon_S2848,918
anon_S4493,808
anon_S4933,499
anon_S4688,563
anon_S1342,638
anon_S1585,1298
anon_S430,602
anon_S1313,608
anon_S4842,787
anon_S4893,533
anon_S2010,782
anon_S5440,1800
anon_S3019,658
anon_S5077,616
anon_S1410,596
anon_S6096,472
anon_S3501,601
anon_S46,782
anon_S3554,505
anon_S4908,573
anon_S5008,516
anon_S5956,642
anon_S2482,721
anon_S2081,873
anon_S3981,632
anon_S101,1497
anon_S245,760
anon_S2227,892
anon_S488,1002
anon_S3604,921
anon_S3673,677
anon_S1790,770
anon_S2310,624
anon_S2345,1298
anon_S4402,808
anon_S3124,892
anon_S2982,808
anon_S3659,671
anon_S1822,1044
anon_S156,677
anon_S3274,649
anon_S3229,596
anon_S2675,792
anon_S4188,573
anon_S2697,644
anon_S5191,581
anon_S5625,1045
anon_S1968,792
anon_S4211,696
anon_S721,586
anon_S1957,770
anon_S305,649
anon_S1522,783
anon_S641,552
anon_S1895,632
anon_S1848,560
anon_S614,579
anon_S2203,987
anon_S1244,532
anon_S2119,804
anon_S1299,658
anon_S4730,623
anon_S1493,588
anon_S1653,941
anon_S1675,620
anon_S2881,434
anon_S3212,900
anon_S1262,378
anon_S1219,618
anon_S346,589
anon_S3771,956
anon_S5355,570
anon_S5351,571
anon_S2199,620
anon_S1459,647
anon_S4616,1203
anon_S5283,609
anon_S2547,642
anon_S1715,620
anon_S4284,601
anon_S1371,578
anon_S4310,664
anon_S681,698
anon_S3007,711
anon_S1010,609
anon_S3903,808
anon_S3400,808
anon_S1748,1004
anon_S5096,560
anon_S3838,708
anon_S3365,1060
anon_S1466,987
anon_S510,705
anon_S233,652
anon_S917,558
anon_S3571,566
anon_S3938,860
anon_S5761,609
anon_S5734,1216
anon_S2343,677
anon_S3029,993
anon_S3965,921
anon_S441,639
anon_S2064,620
anon_S4821,589
anon_S2031,987
anon_S4874,573
anon_S4221,661
anon_S5247,991
anon_S168,1157
anon_S3165,892
anon_S1699,1049
anon_S70,463
anon_S4947,600
anon_S1586,649
anon_S326,633
anon_S135,679
anon_S2569,649
anon_S5034,710
anon_S1390,447
anon_S2783,792
anon_S979,406
anon_S146,543
anon_S1856,602
anon_S3235,696
anon_S2769,711
anon_S2716,651
anon_S5158,710
anon_S2412,525
anon_S5544,567
anon_S2867,987
anon_S1160,344
anon_S4026,681
anon_S768,548
anon_S6010,651
anon_S2734,734
anon_S319,1115
anon_S5176,1487
anon_S2366,489
anon_S1996,878
anon_S1229,546
anon_S1921,764
anon_S1974,651
anon_S3340,783
anon_S3738,921
anon_S2169,716
anon_S1541,588
anon_S2656,575
anon_S4782,996
anon_S4779,542
anon_S5372,505
anon_S5693,807
anon_S5900,578
anon_S4307,711
anon_S4014,855
anon_S5223,665
anon_S2978,711
anon_S6077,770
anon_S6039,632
anon_S1614,642
anon_S2807,987
anon_S1287,692
anon_S6000,943
anon_S664,623
anon_S631,631
anon_S3796,647
anon_S2103,931
anon_S954,615
anon_S909,619
anon_S5057,591
anon_S5513,729
anon_S3433,664
anon_S1736,697
anon_S5253,955
anon_S1347,665
anon_S4717,1032
anon_S281,566
anon_S5989,943
anon_S932,587
anon_S3503,708
anon_S3492,993
anon_S4935,651
anon_S5854,991
anon_S894,652
anon_S4891,349
anon_S1443,601
anon_S2831,808
