node,new_score
anon_S5391,538
anon_S837,601
anon_S3887,561
anon_S124,695
anon_S145,1157
anon_S1320,598
anon_S968,658
anon_S69,1049
anon_S523,763
anon_S1090,776
anon_S5659,641
anon_S1448,531
anon_S2570,860
anon_S2525,921
anon_S1306,598
anon_S2927,626
anon_S3043,588
anon_S3499,713
anon_S1001,575
anon_S2461,487
anon_S888,586
anon_S2949,723
anon_S2725,987
anon_S308,649
anon_S5141,581
anon_S2359,1021
anon_S3147,632
anon_S2075,987
anon_S2407,525
anon_S2002,1021
anon_S405,749
anon_S102,1157
anon_S5839,770
anon_S997,631
anon_S1176,604
anon_S5016,581
anon_S4878,470
anon_S590,440
anon_S5911,609
anon_S2703,651
anon_S5686,609
anon_S2934,915
anon_S3612,860
anon_S4330,711
anon_S4365,681
anon_S735,604
anon_S5536,943
anon_S5691,609
anon_S5221,541
anon_S5937,501
anon_S1830,696
anon_S2860,695
anon_S4106,664
anon_S4187,595
anon_S3629,783
anon_S2304,1021
anon_S889,526
anon_S3297,667
anon_S5639,592
anon_S4168,524
anon_S1916,843
anon_S4702,1248
anon_S2196,786
anon_S1550,792
anon_S1930,602
anon_S4989,1032
anon_S3351,705
anon_S4907,591
anon_S2661,598
anon_S2952,677
anon_S2634,987
anon_S2231,649
anon_S1463,708
anon_S1636,527
anon_S4979,581
anon_S5039,332
anon_S4677,589
anon_S3260,530
anon_S1321,534
anon_S675,668
anon_S350,693
anon_S3456,565
anon_S2812,708
anon_S5613,946
anon_S4226,601
anon_S6052,483
anon_S5042,734
anon_S3860,915
anon_S504,704
anon_S5293,517
anon_S3180,650
anon_S3538,629
anon_S4924,531
anon_S1701,915
anon_S690,595
anon_S3947,632
anon_S841,324
anon_S3646,783
anon_S4521,508
anon_S522,642
anon_S559,501
anon_S3790,566
anon_S26,613
anon_S3516,487
anon_S6117,477
anon_S2444,812
anon_S3438,915
anon_S1429,422
anon_S4692,512
anon_S2805,804
anon_S2846,808
anon_S431,621
anon_S750,671
anon_S3935,860
anon_S1386,604
anon_S2369,713
anon_S2793,610
anon_S48,770
anon_S4032,671
anon_S4353,647
anon_S2491,987
anon_S4811,535
anon_S2092,1061
anon_S2025,649
anon_S1817,677
anon_S4723,540
anon_S1484,626
anon_S2775,1055
anon_S1662,1021
anon_S2880,994
anon_S1787,677
anon_S2207,761
anon_S5898,851
anon_S4430,671
anon_S1879,588
anon_S4379,515
anon_S4578,624
anon_S5160,531
anon_S369,510
anon_S5135,525
anon_S87,649
anon_S183,1819
anon_S5958,1203
anon_S4654,620
anon_S1571,620
anon_S2175,987
anon_S1133,713
anon_S1757,1047
anon_S3323,593
anon_S1366,366
anon_S4749,581
anon_S202,352
anon_S2640,632
