node,new_score,original_score,diff(new-origin)
anon_S122E,-1,-1,na
anon_S831E,559,559,0
anon_S5821E,888.86,775,113.86
anon_S4830E,562,562,0
anon_S6019E,518,518,0
anon_S67E,630,630,0
anon_S2518E,657.8,614,43.8
anon_S5098E,528,528,0
anon_S2527E,711,468,243
anon_S2507E,568,568,0
anon_S1300E,563,563,0
anon_S569E,496,496,0
anon_S3471E,739,606,133
anon_S4589E,528,528,0
anon_S1604E,620,500,120
anon_S5313E,657,657,0
anon_S1047E,681,681,0
anon_S531E,761,761,0
anon_S2463E,695,511,184
anon_S3687E,845.41,526,319.41
anon_S4741E,717.2,379,338.2
anon_S808E,667,667,0
anon_S5398E,265,265,0
anon_S3149E,721,-1,na
anon_S6025E,-1,-1,na
anon_S1152E,739,739,0
anon_S4485E,733.14,476,257.14
anon_S2000E,821.29,465,356.29
anon_S2458E,891.63,360,531.63
anon_S6070E,899.99,-1,na
anon_S1029E,-1,-1,na
anon_S1092E,444,444,0
anon_S159E,899.08,744,155.08
anon_S3685E,892.49,-1,na
anon_S2825E,742.92,637,105.92
anon_S2405E,636,375,261
anon_S2598E,657.8,621,36.8
anon_S5018E,-1,-1,na
anon_S995E,655,655,0
anon_S940E,614,614,0
anon_S3544E,587,587,0
anon_S4414E,711,558,153
anon_S2758E,647,562,85
anon_S5129E,-1,-1,na
anon_S2306E,620,626,-6
anon_S1409E,631,631,0
anon_S2252E,695,606,89
anon_S5680E,609,555,54
anon_S5913E,600,600,0
anon_S2238E,617,624,-7
anon_S3614E,578.89,390,188.89
anon_S422E,662,662,0
anon_S1780E,733.14,659,74.14
anon_S4367E,596,596,0
anon_S733E,407,407,0
anon_S1322E,-1,-1,na
anon_S5212E,733.3,553,180.3
anon_S2618E,652,724,-72
anon_S5935E,627,627,0
anon_S418E,546,546,0
anon_S2723E,531.28,713,-181.72
anon_S2320E,700.05,729,-28.95
anon_S1043E,577,577,0
anon_S1420E,589,589,0
anon_S2698E,657.8,587,70.8
anon_S1836E,578.89,740,-161.11
anon_S6038E,-1,-1,na
anon_S4349E,547,547,0
anon_S3291E,730.4,523,207.4
anon_S1918E,761,733,28
anon_S5254E,635,646,-11
anon_S5183E,768,531,237
anon_S5329E,520,520,0
anon_S2942E,731.98,-1,na
anon_S1936E,853.5,532,321.5
anon_S3353E,617,548,69
anon_S1552E,898.22,522,376.22
anon_S2636E,588,531,57
anon_S2233E,649,484,165
anon_S1858E,744.05,677,67.05
anon_S1765E,885.35,561,324.35
anon_S1651E,649,496,153
anon_S4595E,549,549,0
anon_S1638E,559,559,0
anon_S1405E,-1,-1,na
anon_S3848E,565,763,-198
anon_S4152E,466,466,0
anon_S4675E,616,616,0
anon_S5632E,658.17,576,82.17
anon_S5214E,718,-1,na
anon_S2895E,840.68,-1,na
anon_S3262E,474,474,0
anon_S4755E,743.25,604,139.25
anon_S4700E,743.25,797,-53.75
anon_S5249E,744.89,673,71.89
anon_S352E,533,533,0
anon_S1711E,812,568,244
anon_S3454E,891.96,542,349.96
anon_S3084E,711,657,54
anon_S2132E,650,-1,na
anon_S5347E,788.35,646,142.35
anon_S6058E,898.55,709,189.55
anon_S1998E,677,670,7
anon_S1227E,399,399,0
anon_S1031E,657,657,0
anon_S5040E,734,497,237
anon_S3339E,731.98,488,243.98
anon_S3866E,821.29,492,329.29
anon_S2913E,849.83,602,247.83
anon_S3736E,736.58,-1,na
anon_S2551E,711,499,212
anon_S1703E,649,587,62
anon_S4155E,704,704,0
anon_S3139E,721,588,133
anon_S5291E,544,544,0
anon_S3182E,650,578,72
anon_S3066E,657.8,-1,na
anon_S3975E,596,639,-43
anon_S1060E,601,601,0
anon_S1589E,747.44,683,64.44
anon_S812E,640,640,0
anon_S2049E,849.65,555,294.65
anon_S1308E,652,652,0
anon_S3514E,812,641,171
anon_S3563E,610,610,0
anon_S24E,681,681,0
anon_S1738E,-1,-1,na
anon_S5757E,609,-1,na
anon_S1349E,-1,-1,na
anon_S520E,651,651,0
anon_S3481E,891.96,532,359.96
anon_S3928E,745.81,-1,na
anon_S4252E,845.41,-1,na
anon_S4023E,596,522,74
anon_S178E,738.37,586,152.37
anon_S2844E,711,743,-32
anon_S433E,-1,-1,na
anon_S3662E,760,550,210
anon_S4380E,-1,-1,na
anon_S3585E,731.98,-1,na
anon_S752E,-1,-1,na
anon_S6119E,535,535,0
anon_S5487E,590,590,0
anon_S332E,653,653,0
anon_S3153E,650,-1,na
anon_S1013E,626,626,0
anon_S1594E,747.91,522,225.91
anon_S1468E,812,581,231
anon_S843E,616,616,0
anon_S3644E,883.6,657,226.6
anon_S1414E,629,629,0
anon_S4034E,596,675,-79
anon_S1340E,536,536,0
anon_S1441E,-1,-1,na
anon_S1380E,-1,-1,na
anon_S2791E,681,648,33
anon_S2493E,632,550,82
anon_S1315E,626,626,0
anon_S4817E,-1,-1,na
anon_S2027E,623,537,86
anon_S1509E,867.34,464,403.34
anon_S1811E,748.2,685,63.2
anon_S224E,596,656,-60
anon_S249E,487,487,0
anon_S1660E,681,-1,na
anon_S4478E,730.4,-1,na
anon_S5965E,599,599,0
anon_S1251E,-1,-1,na
anon_S1204E,744.54,552,192.54
anon_S2777E,664,532,132
anon_S3923E,850.52,510,340.52
anon_S1880E,709,528,181
anon_S1877E,620,615,5
anon_S6104E,639,639,0
anon_S778E,626,626,0
anon_S5162E,597,597,0
anon_S5133E,620,-1,na
anon_S3784E,632,559,73
anon_S81E,730.92,774,-43.08
anon_S1126E,496,496,0
anon_S1681E,899.48,728,171.48
anon_S1435E,-1,-1,na
anon_S4097E,626,675,-49
anon_S1964E,636,549,87
anon_S1755E,884.37,509,375.37
anon_S3325E,460,460,0
anon_S3728E,696,-1,na
anon_S3370E,900,663,237
anon_S4656E,865.49,530,335.49
anon_S1364E,570,570,0
anon_S1339E,667,667,0
anon_S200E,742.92,731,11.92
anon_S5464E,717.2,495,222.2
anon_S2642E,565,693,-128
anon_S3448E,812,570,242
anon_S5774E,609,575,34
anon_S5796E,662,530,132
anon_S3717E,696,610,86
anon_S2151E,896.39,712,184.39
anon_S2886E,731.98,-1,na
anon_S214E,623,623,0
