node,new_score,original_score,diff(new-origin)
anon_S1513E,749,524,225
anon_S4512E,562,562,0
anon_S4208E,596,711,-115
anon_S160E,728.75,507,221.75
anon_S873E,381,381,0
anon_S4343E,504,504,0
anon_S640E,611,611,0
anon_S4192E,501,501,0
anon_S237E,-1,-1,na
anon_S2239E,698,552,146
anon_S2687E,849.65,500,349.65
anon_S615E,646,646,0
anon_S1807E,893.28,526,367.28
anon_S3246E,588,510,78
anon_S6121E,-1,-1,na
anon_S2761E,896.02,728,168.02
anon_S5185E,898,396,502
anon_S5150E,586,586,0
anon_S2147E,677,633,44
anon_S5323E,493,493,0
anon_S5973E,-1,-1,na
anon_S3934E,769.9,509,260.9
anon_S760E,561,561,0
anon_S5706E,791.78,562,229.78
anon_S2612E,804,566,238
anon_S5537E,635,635,0
anon_S311E,731.98,-1,na
anon_S97E,835.14,576,259.14
anon_S1132E,548,548,0
anon_S2879E,849.65,523,326.65
anon_S3793E,601,-1,na
anon_S5801E,575.85,524,51.85
anon_S5409E,710,577,133
anon_S3333E,617,-1,na
anon_S3348E,649,-1,na
anon_S3765E,651,516,135
anon_S3730E,867.34,645,222.34
anon_S5356E,509,509,0
anon_S2282E,672,556,116
anon_S5704E,609,573,36
anon_S5594E,743.02,677,66.02
anon_S3268E,617,639,-22
anon_S5599E,881.88,703,178.88
anon_S4579E,563,563,0
anon_S3082E,657.8,399,258.8
anon_S1605E,-1,-1,na
anon_S2161E,620,628,-8
anon_S5848E,582,582,0
anon_S1274E,660,660,0
anon_S2917E,578.89,527,51.89
anon_S1221E,477,477,0
anon_S1929E,677,608,69
anon_S2850E,657.8,439,218.8
anon_S2557E,608,473,135
anon_S1709E,677,586,91
anon_S2340E,748.2,634,114.2
anon_S3879E,661,682,-21
anon_S5441E,660.92,633,27.92
anon_S3188E,898.85,663,235.85
anon_S3017E,761,325,436
anon_S4546E,575,575,0
anon_S1583E,677,330,347
anon_S1084E,568,568,0
anon_S3315E,578.89,610,-31.11
anon_S4626E,808.9,589,219.9
anon_S3565E,581,581,0
anon_S4971E,743.25,672,71.25
anon_S3284E,736.58,-1,na
anon_S5759E,609,589,20
anon_S5726E,609,707,-98
anon_S4433E,711,-1,na
anon_S1316E,-1,-1,na
anon_S223E,441,441,0
anon_S4507E,673,673,0
anon_S3487E,760,665,95
anon_S3035E,849.65,280,569.65
anon_S3430E,717,532,185
anon_S3465E,891.96,583,308.96
anon_S440E,550,550,0
anon_S4819E,634,634,0
anon_S4866E,573,-1,na
anon_S2909E,717,641,76
anon_S5810E,609,-1,na
anon_S439E,612,612,0
anon_S3668E,840.68,-1,na
anon_S4473E,657.8,526,131.8
anon_S3656E,378,534,-156
anon_S785E,-1,-1,na
anon_S5481E,741.27,575,166.27
anon_S334E,611,611,0
anon_S2316E,649,584,65
anon_S3155E,849.65,575,274.65
anon_S3122E,895.35,516,379.35
anon_S4844E,450,450,0
anon_S4899E,525,525,0
anon_S2043E,620,457,163
anon_S3068E,711,719,-8
anon_S5006E,733.3,556,177.3
anon_S4684E,769.17,655,114.17
anon_S417E,-1,-1,na
anon_S2839E,657.8,-1,na
anon_S3108E,721,633,88
anon_S981E,547,547,0
anon_S40E,677,705,-28
anon_S6090E,744.89,496,248.89
anon_S5219E,738.16,560,178.16
anon_S15E,895.28,757,138.28
anon_S6011E,539,539,0
anon_S1167E,-1,-1,na
anon_S5950E,-1,-1,na
anon_S2742E,531.28,581,-49.72
anon_S563E,620,-1,na
anon_S6026E,-1,-1,na
anon_S2810E,669.96,522,147.96
anon_S1578E,742.05,540,202.05
anon_S243E,695,695,0
anon_S482E,729.71,547,182.71
anon_S3602E,617,-1,na
anon_S1363E,602,602,0
anon_S3003E,626,-1,na
anon_S1871E,879.91,651,228.91
anon_S1824E,725.21,645,80.21
anon_S2370E,821.29,657,164.29
anon_S1687E,884.37,583,301.37
anon_S4128E,748.28,612,136.28
anon_S4099E,891.96,510,381.96
anon_S423E,-1,-1,na
anon_S1962E,859.99,527,332.99
anon_S5360E,515,515,0
anon_S826E,578,578,0
anon_S4217E,724.29,532,192.29
anon_S2648E,858.18,564,294.18
anon_S6003E,635,623,12
anon_S1904E,662,662,0
anon_S1959E,747.91,734,13.91
anon_S1202E,539,539,0
anon_S5963E,646,646,0
anon_S1524E,748.2,508,240.2
anon_S2186E,593,442,151
anon_S637E,575,575,0
anon_S650E,613,613,0
anon_S5262E,899.79,496,403.79
anon_S5273E,899.94,612,287.94
anon_S4317E,849.65,548,301.65
anon_S5510E,616,616,0
anon_S3285E,853.5,609,244.5
anon_S714E,608,608,0
anon_S5233E,625,625,0
anon_S1626E,581,581,0
anon_S4529E,-1,-1,na
anon_S4228E,724.28,-1,na
anon_S4767E,733.3,493,240.3
anon_S1297E,526,526,0
anon_S5527E,580,580,0
anon_S3479E,601,503,98
anon_S4581E,899.13,646,253.13
anon_S4148E,578.89,736,-157.11
anon_S5829E,847.89,484,363.89
anon_S2113E,761,588,173
anon_S1697E,620,714,-94
anon_S5027E,536,536,0
anon_S5090E,532,532,0
anon_S3889E,899.87,372,527.87
anon_S3381E,608,493,115
anon_S3832E,778.52,555,223.52
anon_S3751E,677,663,14
anon_S4115E,636,566,70
anon_S5467E,498,498,0
anon_S5790E,609,651,-42
anon_S3214E,657.8,435,222.8
anon_S1268E,599,599,0
anon_S391E,724,724,0
anon_S2453E,647,601,46
anon_S3446E,651,653,-2
anon_S3854E,657.8,390,267.8
anon_S3809E,651,445,206
anon_S2201E,647,513,134
anon_S5650E,591,591,0
anon_S1656E,736.58,-1,na
anon_S5605E,494,494,0
anon_S570E,416,416,0
anon_S948E,608,608,0
anon_S3194E,899.87,594,305.87
anon_S1183E,681,681,0
anon_S2590E,578.89,641,-62.11
anon_S4910E,567,567,0
anon_S4945E,588,588,0
anon_S5500E,629,629,0
anon_S4282E,601,637,-36
anon_S4055E,632,-1,na
anon_S2275E,588,527,61
anon_S3054E,593,564,29
anon_S4028E,769.9,573,196.9
anon_S3905E,647,344,303
anon_S882E,597,597,0
anon_S853E,-1,-1,na
anon_S828E,428,428,0
anon_S516E,899.48,758,141.48
anon_S966E,620,620,0
anon_S239E,502,502,0
anon_S3522E,595,595,0
anon_S36E,885.35,717,168.35
anon_S5392E,630,630,0
anon_S4279E,711,524,187
anon_S5101E,-1,-1,na
anon_S5767E,609,571,38
anon_S4885E,556,556,0
anon_S4173E,504,504,0
anon_S4610E,603,603,0
anon_S4465E,657.8,574,83.8
anon_S328E,744.72,531,213.72
anon_S3591E,602,504,98
anon_S744E,677,683,-6
anon_S1502E,685,562,123
anon_S1309E,602,602,0
anon_S2563E,608,470,138
anon_S1396E,607,607,0
anon_S2785E,895.94,593,302.94
anon_S5437E,616,640,-24
anon_S2996E,657.8,-1,na
anon_S4046E,565,606,-41
anon_S3623E,698,630,68
anon_S875E,641,641,0
anon_S4341E,539,539,0
anon_S5215E,620,487,133
anon_S4827E,508,508,0
anon_S2037E,578.89,679,-100.11
anon_S2681E,858.18,565,293.18
anon_S1850E,812,492,320
anon_S1805E,749,695,54
anon_S3244E,677,665,12
anon_S3233E,895.43,469,426.43
anon_S4190E,547,547,0
anon_S2767E,730.4,606,124.4
anon_S5152E,543,543,0
anon_S2145E,891.96,666,225.96
anon_S4091E,730.4,619,111.4
anon_S5633E,895.2,751,144.2
anon_S5374E,585,585,0
anon_S5699E,898.55,702,196.55
anon_S5971E,416,416,0
anon_S4754E,717.2,550,167.2
anon_S2610E,661,557,104
anon_S2963E,711,640,71
anon_S5542E,529,529,0
anon_S5884E,535,535,0
anon_S5381E,546,546,0
anon_S95E,878.01,667,211.01
anon_S5875E,609,607,2
anon_S1646E,812,598,214
anon_S762E,737,737,0
anon_S1341E,583,583,0
anon_S1945E,672,683,-11
anon_S313E,638,638,0
anon_S1314E,637,637,0
anon_S2339E,843.73,640,203.73
anon_S225E,-1,-1,na
anon_S603E,497,497,0
anon_S3331E,713,-1,na
anon_S3815E,894.92,590,304.92
anon_S2163E,899.6,635,264.6
anon_S1547E,588,527,61
anon_S5619E,509,509,0
anon_S2284E,731.98,691,40.98
anon_S4953E,603,603,0
anon_S3432E,760,609,151
anon_S4788E,332,332,0
anon_S6103E,466,466,0
anon_S4542E,-1,-1,na
anon_S4536E,508,508,0
anon_S4708E,898.27,415,483.27
anon_S5229E,544,544,0
anon_S266E,749.84,339,410.84
anon_S1432E,-1,-1,na
anon_S3785E,899.48,643,256.48
anon_S1607E,733.14,533,200.14
anon_S4794E,877.71,533,344.71
anon_S5724E,609,-1,na
anon_S5346E,-1,-1,na
anon_S1276E,682,682,0
anon_S1990E,898.22,486,412.22
anon_S454E,461,461,0
anon_S3037E,711,439,272
anon_S5059E,738.16,561,177.16
anon_S5299E,573,573,0
anon_S4959E,581,581,0
anon_S1657E,593,419,174
anon_S1082E,590,590,0
anon_S4973E,738.16,445,293.16
anon_S1730E,620,541,79
anon_S3317E,731.98,653,78.98
anon_S4261E,601,638,-37
anon_S4234E,642,324,318
anon_S557E,512,512,0
anon_S3920E,723,590,133
anon_S3463E,748.02,509,239.02
anon_S5434E,808.9,516,292.9
anon_S5772E,858.4,543,315.4
anon_S5803E,575.85,595,-19.15
anon_S5812E,609,704,-95
anon_S2424E,578.89,736,-157.11
anon_S2471E,711,604,107
anon_S5402E,506,506,0
anon_S4864E,865.49,745,120.49
anon_S5474E,-1,-1,na
anon_S5429E,710,551,159
anon_S3120E,705,-1,na
anon_S4475E,531.28,-1,na
anon_S4497E,899.87,649,250.87
anon_S5617E,651,651,0
anon_S4846E,516,516,0
anon_S2041E,608,548,60
anon_S2014E,649,471,178
anon_S4696E,737.54,502,235.54
anon_S5592E,847.89,597,250.89
anon_S1581E,733.14,661,72.14
anon_S4682E,736.7,615,121.7
anon_S147E,603.76,565,38.76
anon_S2837E,657.8,452,205.8
anon_S462E,831.7,554,277.7
anon_S13E,713,713,0
anon_S42E,896.39,780,116.39
anon_S4425E,658,-1,na
anon_S5004E,877.71,545,332.71
anon_S5073E,620,571,49
anon_S539E,275,275,0
anon_S983E,467,467,0
anon_S6092E,744.89,545,199.89
anon_S2744E,664,532,132
anon_S5412E,718,586,132
anon_S3985E,661,-1,na
anon_S5952E,688,688,0
anon_S2314E,632,530,102
anon_S484E,529,529,0
anon_S3600E,850.37,568,282.37
anon_S1819E,647,630,17
anon_S2349E,748.2,532,216.2
anon_S2486E,711,625,86
anon_S2401E,651,492,159
anon_S241E,742.25,514,228.25
anon_S2439E,748.02,418,330.02
anon_S1115E,616,616,0
anon_S1826E,812,571,241
anon_S1689E,593,503,90
anon_S3283E,696,665,31
anon_S3278E,731.98,576,155.98
anon_S716E,-1,-1,na
anon_S4540E,572,572,0
anon_S5195E,663,612,51
anon_S3378E,657.8,418,239.8
anon_S5629E,560.37,483,77.37
anon_S3015E,642,520,122
anon_S1712E,716,682,34
anon_S1526E,733.14,647,86.14
anon_S2184E,744,572,172
anon_S1037E,661,661,0
anon_S1902E,892.92,669,223.92
anon_S4061E,899.87,546,353.87
anon_S1899E,744,622,122
anon_S4319E,601,713,-112
anon_S2671E,644,475,169
anon_S5235E,709,709,0
anon_S2940E,723,468,255
anon_S5565E,734.87,526,208.87
anon_S415E,594,594,0
anon_S4769E,733.3,568,165.3
anon_S521E,812,812,0
anon_S4583E,676,676,0
anon_S6035E,-1,-1,na
anon_S1624E,896.81,-1,na
anon_S2115E,-1,-1,na
anon_S1643E,632,448,184
anon_S6042E,545,545,0
anon_S1295E,480,480,0
anon_S1240E,492,492,0
anon_S5092E,659,659,0
anon_S3753E,588,358,230
anon_S4113E,657.8,455,202.8
anon_S692E,665,665,0
anon_S1679E,620,542,78
anon_S2929E,632,621,11
anon_S3216E,849.65,555,294.65
anon_S4747E,717.2,482,235.2
anon_S393E,580,580,0
anon_S342E,547,547,0
anon_S3440E,744.05,752,-7.95
anon_S5300E,553,553,0
anon_S5607E,475,475,0
anon_S3852E,657.8,516,141.8
anon_S3192E,657.8,613,44.8
anon_S1181E,665,665,0
anon_S2592E,626,480,146
anon_S2543E,657.8,-1,na
anon_S2538E,531.28,798,-266.72
anon_S4280E,601,636,-35
anon_S572E,896.32,508,388.32
anon_S3052E,713,547,166
anon_S4534E,613,613,0
anon_S3907E,531.28,682,-150.72
anon_S139E,647,647,0
anon_S851E,740,740,0
anon_S4268E,565,677,-112
anon_S514E,608,608,0
anon_S964E,636,636,0
anon_S549E,650,650,0
anon_S3520E,657.8,630,27.8
anon_S3575E,566,419,147
anon_S30E,746.86,693,53.86
anon_S4969E,620,552,68
anon_S5765E,575.85,609,-33.15
anon_S2452E,657.8,-1,na
anon_S287E,603.76,-1,na
anon_S3969E,717,537,180
anon_S4612E,487,487,0
anon_S934E,640,640,0
anon_S3625E,634,637,-3
anon_S445E,595,595,0
anon_S2858E,596,455,141
anon_S3597E,578.89,585,-6.11
anon_S5534E,604,604,0
anon_S742E,677,655,22
anon_S933E,408,408,0
anon_S2263E,840.68,723,117.68
anon_S5382E,486,486,0
anon_S4108E,531.28,610,-78.72
anon_S2565E,711,593,118
anon_S2372E,588,657,-69
anon_S2787E,651,619,32
anon_S5435E,660.92,640,20.92
anon_S2998E,647,576,71
anon_S4569E,467,467,0
anon_S4516E,589,589,0
anon_S1137E,650,650,0
anon_S1394E,524,524,0
anon_S2060E,709,542,167
anon_S4825E,723.89,545,178.89
anon_S2035E,636,500,136
anon_S1852E,763,744,19
anon_S1803E,749,426,323
anon_S2954E,434,607,-173
anon_S2638E,745.28,602,143.28
anon_S2683E,704,-1,na
anon_S5154E,-1,-1,na
anon_S5107E,865.49,532,333.49
anon_S3231E,657.8,-1,na
anon_S5977E,483,483,0
anon_S2765E,725.21,672,53.21
anon_S2712E,709,530,179
anon_S5189E,663,619,44
anon_S5540E,619,619,0
anon_S1023E,660,660,0
anon_S4369E,593,593,0
anon_S1640E,733.14,641,92.14
anon_S739E,711,711,0
anon_S2907E,647,690,-43
anon_S2738E,899.48,573,326.48
anon_S5172E,899.4,407,492.4
anon_S5109E,718,632,86
anon_S93E,731.98,486,245.98
anon_S1641E,578.89,611,-32.11
anon_S5577E,886.51,522,364.51
anon_S2138E,378,583,-205
anon_S1545E,677,589,88
anon_S5349E,881.79,714,167.79
anon_S4399E,883.6,644,239.6
anon_S3337E,731.98,-1,na
anon_S4786E,694,694,0
anon_S4083E,636,754,-118
anon_S2286E,436,436,0
anon_S2652E,706,520,186
anon_S5201E,663,665,-2
anon_S5700E,609,575,34
anon_S2143E,700.05,662,38.05
anon_S4220E,730.4,-1,na
anon_S5376E,-1,-1,na
anon_S260E,899.56,715,184.56
anon_S4303E,657.8,421,236.8
anon_S6109E,516,516,0
anon_S4997E,660.92,701,-40.08
anon_S660E,-1,-1,na
anon_S3031E,769.9,717,52.9
anon_S3926E,617,646,-29
anon_S3461E,627,627,0
anon_S5671E,616,616,0
anon_S6111E,582,582,0
anon_S3399E,657.8,637,20.8
anon_S958E,589,589,0
anon_S389E,571,571,0
anon_S3319E,849.65,-1,na
anon_S4694E,620,514,106
anon_S112E,567,567,0
anon_S4272E,644,519,125
anon_S4232E,657.8,362,295.8
anon_S555E,710,710,0
anon_S5877E,609,471,138
anon_S4209E,632,512,120
anon_S1732E,752.04,626,126.04
anon_S540E,561,561,0
anon_S4263E,601,735,-134
anon_S2426E,744.15,509,235.15
anon_S2029E,826.49,568,258.49
anon_S3948E,724.29,604,120.29
anon_S3937E,724.29,613,111.29
anon_S5814E,575.85,527,48.85
anon_S3159E,845.41,355,490.41
anon_S3126E,721,412,309
anon_S4477E,657.8,-1,na
anon_S4495E,602,-1,na
anon_S4931E,613,613,0
anon_S4421E,731.98,-1,na
anon_S4067E,730.4,603,127.4
anon_S1080E,556,556,0
anon_S2835E,626,660,-34
anon_S460E,-1,-1,na
anon_S818E,596,596,0
anon_S3875E,657.8,446,211.8
anon_S4840E,899.43,541,358.43
anon_S2016E,733.14,505,228.14
anon_S3820E,717,-1,na
anon_S5071E,718,599,119
anon_S4680E,771.81,544,227.81
anon_S4167E,613,613,0
anon_S5408E,710,577,133
anon_S580E,883.6,652,231.6
anon_S3104E,650,-1,na
anon_S44E,669.96,562,107.96
anon_S6094E,558,558,0
anon_S3556E,534,534,0
anon_S11E,709,709,0
anon_S4322E,608,612,-4
anon_S2746E,651,586,65
anon_S5139E,663,590,73
anon_S2205E,853.43,626,227.43
anon_S3802E,525,504,21
anon_S5954E,652,652,0
anon_S3606E,731.98,-1,na
anon_S4320E,531.28,510,21.28
anon_S2484E,706,681,25
anon_S2083E,853.43,583,270.43
anon_S3987E,-1,-1,na
anon_S247E,504,504,0
anon_S5509E,491,491,0
anon_S486E,850.37,662,188.37
anon_S5472E,597,597,0
anon_S3206E,809.98,659,150.98
anon_S4009E,724.29,334,390.29
anon_S1820E,898.22,538,360.22
anon_S661E,580,580,0
anon_S3281E,617,-1,na
anon_S3276E,731.98,-1,na
anon_S718E,589,589,0
anon_S5197E,687,322,365
anon_S2878E,642,620,22
anon_S5627E,517,517,0
anon_S192E,891.47,598,293.47
anon_S798E,-1,-1,na
anon_S1900E,853.43,465,388.43
anon_S1955E,726.71,536,190.71
anon_S307E,649,428,221
anon_S4432E,565,559,6
anon_S4141E,632,644,-12
anon_S1520E,747.44,520,227.44
anon_S2673E,891.96,528,363.96
anon_S5237E,492,492,0
anon_S5567E,641,641,0
anon_S1769E,792,631,161
anon_S4566E,659,659,0
anon_S110E,-1,-1,na
anon_S2908E,731.98,-1,na
anon_S1242E,446,446,0
anon_S629E,623,623,0
anon_S3788E,578.89,578,0.89
anon_S1702E,620,526,94
anon_S3755E,637,637,0
anon_S4111E,683.13,-1,na
anon_S4144E,849.65,671,178.65
anon_S4649E,717.2,607,110.2
anon_S2117E,778.52,576,202.52
anon_S4509E,521,521,0
anon_S3210E,661,628,33
anon_S4745E,717.2,508,209.2
anon_S4732E,733.3,567,166.3
anon_S2801E,896.39,533,363.39
anon_S1491E,729.71,613,116.71
anon_S3442E,601,749,-148
anon_S5870E,575.85,647,-71.15
anon_S5601E,387,387,0
anon_S5363E,-1,-1,na
anon_S5239E,898.55,574,324.55
anon_S407E,643,643,0
anon_S340E,675,675,0
anon_S3850E,565,650,-85
anon_S3805E,525,-1,na
anon_S3708E,716,670,46
anon_S5837E,740.28,523,217.28
anon_S2541E,531.28,511,20.28
anon_S1717E,899.96,550,349.96
anon_S4286E,601,686,-85
anon_S6027E,-1,-1,na
anon_S5281E,609,-1,na
anon_S3548E,556,556,0
anon_S3190E,721,-1,na
anon_S1016E,741,741,0
anon_S3901E,657.8,577,80.8
anon_S1599E,711,609,102
anon_S4832E,737.54,582,155.54
anon_S3050E,657.8,447,210.8
anon_S3005E,858.18,-1,na
anon_S3577E,578.89,471,107.89
anon_S32E,898.78,784,114.78
anon_S4967E,748.37,659,89.37
anon_S5094E,431,431,0
anon_S5763E,609,589,20
anon_S1359E,372,372,0
anon_S1596E,748.2,688,60.2
anon_S911E,596,596,0
anon_S3967E,724.29,545,179.29
anon_S3428E,674.96,461,213.96
anon_S1588E,899.91,696,203.91
anon_S420E,709,709,0
anon_S3627E,741.54,604,137.54
anon_S111E,677,677,0
anon_S5808E,609,-1,na
anon_S5646E,501,501,0
anon_S1169E,595,595,0
anon_S740E,702,702,0
anon_S324E,744.34,-1,na
anon_S1804E,588,473,115
anon_S3595E,725.21,568,157.21
anon_S3167E,647,517,130
anon_S429E,606,606,0
anon_S857E,740,740,0
anon_S58E,879.5,697,182.5
anon_S4489E,657.8,-1,na
anon_S2567E,657.8,-1,na
anon_S5036E,516,480,36
anon_S1392E,437,437,0
anon_S2781E,792,453,339
anon_S2062E,731.98,484,247.98
anon_S4823E,890.11,-1,na
anon_S2033E,744.05,503,241.05
anon_S6064E,520,520,0
anon_S1519E,620,711,-91
anon_S1174E,576,576,0
anon_S1034E,-1,-1,na
anon_S1419E,427,427,0
anon_S1008E,575,575,0
anon_S259E,749.9,527,222.9
anon_S1854E,792,586,206
anon_S1801E,690,545,145
anon_S5899E,711,711,0
anon_S3237E,711,-1,na
anon_S2710E,525,528,-3
anon_S5156E,898,604,294
anon_S2865E,849.65,541,308.65
anon_S5466E,892.96,671,221.96
anon_S2410E,725.21,502,223.21
anon_S2266E,792,477,315
anon_S5888E,621,621,0
anon_S91E,754.11,554,200.11
anon_S1125E,525,525,0
anon_S298E,895.7,527,368.7
anon_S1642E,849.65,519,330.65
anon_S1143E,-1,-1,na
anon_S5928E,463,463,0
anon_S2382E,733.14,522,211.14
anon_S1543E,531.28,561,-29.72
anon_S1994E,763,526,237
anon_S1976E,891.63,-1,na
anon_S5459E,771.81,-1,na
anon_S3335E,602,586,16
anon_S3342E,725.21,611,114.21
anon_S2897E,879.91,-1,na
anon_S2288E,898.22,468,430.22
anon_S2650E,840.68,592,248.68
anon_S2923E,730.4,483,247.4
anon_S5702E,609,505,104
anon_S3259E,674.96,-1,na
anon_S4784E,367,367,0
anon_S2141E,692,517,175
anon_S2890E,745.52,-1,na
anon_S5975E,597,597,0
anon_S5902E,672,672,0
anon_S2915E,897.56,522,375.56
anon_S1777E,895.35,531,364.35
anon_S3024E,711,825,-114
anon_S5260E,895.2,505,390.2
anon_S262E,879.91,574,305.91
anon_S2208E,747.91,541,206.91
anon_S2245E,761,655,106
anon_S4410E,632,649,-17
anon_S662E,664,664,0
anon_S3033E,579,607,-28
anon_S3436E,626,574,52
anon_S3099E,681,649,32
anon_S1616E,896.39,476,420.39
anon_S5673E,601,601,0
anon_S1285E,614,614,0
anon_S2508E,726,726,0
anon_S5055E,620,614,6
anon_S5088E,737.54,802,-64.46
anon_S3794E,531.28,356,175.28
anon_S956E,-1,-1,na
anon_S4205E,724.29,519,205.29
anon_S387E,477,477,0
anon_S1403E,543,543,0
anon_S2217E,711,538,173
anon_S4679E,644,511,133
anon_S2932E,730.4,710,20.4
anon_S1734E,899.76,663,236.76
anon_S5728E,609,567,42
anon_S1345E,589,589,0
anon_S1310E,659,659,0
anon_S4715E,733.3,607,126.3
anon_S1647E,620,585,35
anon_S582E,881.1,530,351.1
anon_S4868E,734,734,0
anon_S3494E,821.29,517,304.29
anon_S1718E,700.05,588,112.05
anon_S2848E,834.89,579,255.89
anon_S4493E,657.8,312,345.8
anon_S4933E,499,499,0
anon_S4688E,563,563,0
anon_S1342E,638,638,0
anon_S1585E,748.2,530,218.2
anon_S430E,602,602,0
anon_S1313E,608,608,0
anon_S5819E,-1,-1,na
anon_S4842E,747.73,603,144.73
anon_S4893E,533,533,0
anon_S2010E,748.02,500,248.02
anon_S5440E,756.3,286,470.3
anon_S3019E,658,513,145
anon_S5077E,616,567,49
anon_S1410E,596,596,0
anon_S1445E,-1,-1,na
anon_S2833E,657.8,-1,na
anon_S466E,-1,-1,na
anon_S283E,744.34,-1,na
anon_S6096E,472,472,0
anon_S3501E,601,546,55
anon_S46E,748.02,623,125.02
anon_S3554E,505,505,0
anon_S2588E,657.8,-1,na
anon_S4908E,573,573,0
anon_S5008E,516,649,-133
anon_S5956E,642,642,0
anon_S2482E,721,682,39
anon_S2081E,896.39,568,328.39
anon_S3981E,632,320,312
anon_S101E,741.13,529,212.13
anon_S245E,760,760,0
anon_S2227E,778.52,520,258.52
anon_S488E,863.15,555,308.15
anon_S3604E,730.4,673,57.4
anon_S3673E,731.98,555,176.98
anon_S1790E,821.29,468,353.29
anon_S2310E,730.49,534,196.49
anon_S2345E,748.2,663,85.2
anon_S4402E,657.8,462,195.8
anon_S3124E,778.52,588,190.52
anon_S2982E,657.8,407,250.8
anon_S1075E,-1,-1,na
anon_S3657E,578,-1,na
anon_S3659E,769.9,563,206.9
anon_S1822E,896.32,693,203.32
anon_S156E,731.98,547,184.98
anon_S3274E,649,491,158
anon_S3229E,596,645,-49
anon_S2675E,792,529,263
anon_S4188E,573,573,0
anon_S2697E,644,536,108
anon_S5191E,733.3,611,122.3
anon_S5625E,608.15,485,123.15
anon_S190E,898.95,-1,na
anon_S1968E,792,636,156
anon_S4211E,696,539,157
anon_S721E,586,586,0
anon_S1957E,821.29,615,206.29
anon_S305E,649,534,115
anon_S1522E,578.89,605,-26.11
anon_S641E,552,552,0
anon_S2241E,620,-1,na
anon_S1895E,632,635,-3
anon_S1848E,560,560,0
anon_S614E,579,579,0
anon_S6120E,-1,-1,na
anon_S2203E,849.65,524,325.65
anon_S1244E,532,532,0
anon_S1628E,-1,-1,na
anon_S2119E,804,506,298
anon_S1299E,658,658,0
anon_S4730E,717.2,505,212.2
anon_S1493E,588,559,29
anon_S1653E,843.73,633,210.73
anon_S1675E,620,677,-57
anon_S2881E,434,526,-92
anon_S3212E,858.18,572,286.18
anon_S1262E,378,378,0
anon_S1219E,618,618,0
anon_S346E,589,589,0
anon_S3771E,746.04,714,32.04
anon_S5355E,570,570,0
anon_S5876E,609,-1,na
anon_S5351E,571,571,0
anon_S2199E,620,692,-72
anon_S1459E,647,552,95
anon_S4616E,898.27,431,467.27
anon_S5283E,609,676,-67
anon_S2547E,642,374,268
anon_S1715E,620,570,50
anon_S4284E,601,693,-92
anon_S1371E,578,578,0
anon_S4310E,664,574,90
anon_S681E,698,698,0
anon_S3007E,711,522,189
anon_S1010E,609,609,0
anon_S3903E,657.8,438,219.8
anon_S3400E,657.8,447,210.8
anon_S4965E,890.11,-1,na
anon_S1748E,866.13,560,306.13
anon_S5096E,560,560,0
anon_S3838E,708,582,126
anon_S3757E,661,-1,na
anon_S3365E,879.91,582,297.91
anon_S1466E,849.65,637,212.65
anon_S510E,705,705,0
anon_S233E,652,652,0
anon_S917E,558,558,0
anon_S3571E,566,566,0
anon_S3938E,724.29,652,72.29
anon_S5761E,609,607,2
anon_S5734E,899.99,593,306.99
anon_S2343E,677,766,-89
anon_S3029E,891.96,633,258.96
anon_S3965E,730.4,545,185.4
anon_S441E,639,639,0
anon_S2064E,620,649,-29
anon_S4821E,589,589,0
anon_S2031E,849.65,608,241.65
anon_S4874E,712.04,521,191.04
anon_S4221E,661,626,35
anon_S5247E,883.8,518,365.8
anon_S168E,715.86,612,103.86
anon_S3165E,778.52,576,202.52
anon_S1699E,899.08,513,386.08
anon_S70E,463,463,0
anon_S4947E,600,600,0
anon_S1586E,649,605,44
anon_S326E,633,633,0
anon_S135E,679,679,0
anon_S855E,-1,-1,na
anon_S822E,-1,-1,na
anon_S2569E,649,551,98
anon_S5034E,710,493,217
anon_S3892E,593,-1,na
anon_S1390E,447,447,0
anon_S2783E,792,644,148
anon_S1026E,-1,-1,na
anon_S979E,406,406,0
anon_S146E,543,543,0
anon_S819E,-1,-1,na
anon_S1856E,602,563,39
anon_S1421E,-1,-1,na
anon_S3235E,696,573,123
anon_S2769E,711,698,13
anon_S2716E,651,689,-38
anon_S5158E,710,581,129
anon_S2412E,525,315,210
anon_S5544E,567,567,0
anon_S2867E,849.65,465,384.65
anon_S1160E,344,344,0
anon_S4026E,681,614,67
anon_S1141E,-1,-1,na
anon_S768E,548,548,0
anon_S6010E,651,651,0
anon_S2734E,840.68,496,344.68
anon_S319E,630,630,0
anon_S5176E,861.73,585,276.73
anon_S2366E,489,515,-26
anon_S1996E,733.14,472,261.14
anon_S1229E,546,546,0
anon_S1921E,726.71,711,15.71
anon_S1974E,651,651,0
anon_S3340E,578.89,781,-202.11
anon_S3738E,747.05,516,231.05
anon_S2169E,716,610,106
anon_S1541E,588,539,49
anon_S2656E,575,563,12
anon_S2925E,434,-1,na
anon_S4782E,660.92,549,111.92
anon_S4779E,542,542,0
anon_S5372E,505,505,0
anon_S5693E,745.55,575,170.55
anon_S5900E,578,578,0
anon_S4307E,711,391,320
anon_S982E,-1,-1,na
anon_S4014E,745.81,491,254.81
anon_S5223E,665,665,0
anon_S2978E,711,569,142
anon_S6077E,770,575,195
anon_S702E,-1,-1,na
anon_S6039E,632,632,0
